Municipio,Estacion,Fecha,Diametro aerodinamico,Medicion
Santa Rosa de Cabal,Centro Urbano,01/26/2009 12:00:00 AM,PM10,60.15
Santa Rosa de Cabal,Centro Urbano,01/27/2009 12:00:00 AM,PM10,27.25
Santa Rosa de Cabal,Centro Urbano,01/28/2009 12:00:00 AM,PM10,50.37
Santa Rosa de Cabal,Centro Urbano,01/29/2009 12:00:00 AM,PM10,38.68
Santa Rosa de Cabal,Centro Urbano,01/30/2009 12:00:00 AM,PM10,47.35
Santa Rosa de Cabal,Centro Urbano,01/31/2009 12:00:00 AM,PM10,35.42
Santa Rosa de Cabal,Centro Urbano,03/03/2009 12:00:00 AM,PM10,22.01
Santa Rosa de Cabal,Centro Urbano,03/04/2009 12:00:00 AM,PM10,38.09
Santa Rosa de Cabal,Centro Urbano,03/05/2009 12:00:00 AM,PM10,36.28
Santa Rosa de Cabal,Centro Urbano,03/06/2009 12:00:00 AM,PM10,34.85
Santa Rosa de Cabal,Centro Urbano,03/07/2009 12:00:00 AM,PM10,36.59
Santa Rosa de Cabal,Centro Urbano,03/08/2009 12:00:00 AM,PM10,36.33
Santa Rosa de Cabal,Centro Urbano,03/09/2009 12:00:00 AM,PM10,27.77
Santa Rosa de Cabal,Centro Urbano,03/10/2009 12:00:00 AM,PM10,32.56
Santa Rosa de Cabal,Centro Urbano,03/11/2009 12:00:00 AM,PM10,38.8
Santa Rosa de Cabal,Centro Urbano,03/12/2009 12:00:00 AM,PM10,31.54
Santa Rosa de Cabal,Centro Urbano,03/13/2009 12:00:00 AM,PM10,38.43
Santa Rosa de Cabal,Centro Urbano,03/14/2009 12:00:00 AM,PM10,27.85
Santa Rosa de Cabal,Centro Urbano,03/18/2009 12:00:00 AM,PM10,31.17
Santa Rosa de Cabal,Centro Urbano,03/19/2009 12:00:00 AM,PM10,22.33
Santa Rosa de Cabal,Centro Urbano,03/20/2009 12:00:00 AM,PM10,20.51
Santa Rosa de Cabal,Centro Urbano,04/02/2009 12:00:00 AM,PM10,34.01
Santa Rosa de Cabal,Centro Urbano,04/03/2009 12:00:00 AM,PM10,31.73
Santa Rosa de Cabal,Centro Urbano,04/04/2009 12:00:00 AM,PM10,37.71
Santa Rosa de Cabal,Centro Urbano,04/05/2009 12:00:00 AM,PM10,42.32
Santa Rosa de Cabal,Centro Urbano,04/06/2009 12:00:00 AM,PM10,44.07
Santa Rosa de Cabal,Centro Urbano,04/07/2009 12:00:00 AM,PM10,42.95
Santa Rosa de Cabal,Centro Urbano,04/08/2009 12:00:00 AM,PM10,28.9
Santa Rosa de Cabal,Centro Urbano,04/09/2009 12:00:00 AM,PM10,32.71
Santa Rosa de Cabal,Centro Urbano,04/10/2009 12:00:00 AM,PM10,23.72
Santa Rosa de Cabal,Centro Urbano,04/11/2009 12:00:00 AM,PM10,25.71
Santa Rosa de Cabal,Centro Urbano,04/12/2009 12:00:00 AM,PM10,29.41
Santa Rosa de Cabal,Centro Urbano,04/13/2009 12:00:00 AM,PM10,31.39
Santa Rosa de Cabal,Centro Urbano,04/14/2009 12:00:00 AM,PM10,38.98
Santa Rosa de Cabal,Centro Urbano,04/15/2009 12:00:00 AM,PM10,34.22
Santa Rosa de Cabal,Centro Urbano,04/16/2009 12:00:00 AM,PM10,25.61
Santa Rosa de Cabal,Centro Urbano,04/17/2009 12:00:00 AM,PM10,33.75
Santa Rosa de Cabal,Centro Urbano,04/18/2009 12:00:00 AM,PM10,32.3
Santa Rosa de Cabal,Centro Urbano,04/19/2009 12:00:00 AM,PM10,29.31
Santa Rosa de Cabal,Centro Urbano,04/20/2009 12:00:00 AM,PM10,36.46
Santa Rosa de Cabal,Centro Urbano,04/21/2009 12:00:00 AM,PM10,41.7
Santa Rosa de Cabal,Centro Urbano,04/22/2009 12:00:00 AM,PM10,37.81
Santa Rosa de Cabal,Centro Urbano,04/23/2009 12:00:00 AM,PM10,35.39
Santa Rosa de Cabal,Centro Urbano,04/24/2009 12:00:00 AM,PM10,32.29
